sku_id,supplier_id
SKU118,SUP009
SKU118,SUP004
SKU119,SUP015
SKU120,SUP007
SKU120,SUP005
SKU120,SUP013
SKU121,SUP010
SKU121,SUP005
SKU121,SUP004
SKU121,SUP013
SKU122,SUP007
SKU122,SUP006
SKU122,SUP009
SKU123,SUP014
SKU123,SUP005
SKU124,SUP011
SKU124,SUP010
SKU124,SUP003
SKU124,SUP008
SKU125,SUP011
SKU126,SUP015
SKU126,SUP010
SKU126,SUP013
SKU127,SUP009
SKU127,SUP010
SKU127,SUP014
SKU127,SUP004
SKU127,SUP012
SKU128,SUP005
SKU128,SUP013
SKU128,SUP011
SKU129,SUP012
SKU129,SUP014
SKU129,SUP003
SKU129,SUP011
SKU129,SUP015
SKU130,SUP011
SKU130,SUP004
SKU131,SUP007
SKU131,SUP010
SKU131,SUP012
SKU131,SUP002
SKU131,SUP009
SKU132,SUP008
SKU133,SUP009
SKU133,SUP005
SKU133,SUP002
SKU133,SUP013
SKU133,SUP006
SKU134,SUP014
SKU134,SUP009
SKU134,SUP006
SKU134,SUP011
SKU135,SUP013
SKU135,SUP014
SKU135,SUP005
SKU135,SUP015
SKU136,SUP004
SKU136,SUP014
SKU136,SUP011
SKU136,SUP001
SKU137,SUP009
SKU137,SUP003
SKU138,SUP011
SKU138,SUP001
SKU139,SUP010
SKU139,SUP007
SKU139,SUP002
SKU139,SUP014
SKU140,SUP004
SKU140,SUP008
SKU140,SUP006
SKU141,SUP003
SKU141,SUP006
SKU141,SUP015
SKU142,SUP005
SKU142,SUP008
SKU143,SUP004
SKU143,SUP005
SKU143,SUP011
SKU143,SUP008
SKU143,SUP013
SKU144,SUP005
SKU144,SUP001
SKU144,SUP012
SKU144,SUP003
SKU144,SUP008
SKU145,SUP003
SKU145,SUP014
SKU145,SUP006
SKU145,SUP007
SKU146,SUP008
SKU146,SUP002
SKU146,SUP001
SKU146,SUP011
SKU147,SUP008
SKU147,SUP003
SKU147,SUP015
SKU147,SUP001
SKU147,SUP010
SKU148,SUP013
SKU148,SUP005
SKU148,SUP009
SKU148,SUP015
SKU148,SUP001
SKU149,SUP007
SKU149,SUP008
SKU149,SUP012
SKU149,SUP001
SKU150,SUP006
SKU150,SUP005
SKU150,SUP008
SKU150,SUP001
SKU151,SUP006
SKU151,SUP008
SKU151,SUP007
SKU152,SUP009
SKU153,SUP015
SKU153,SUP001
SKU153,SUP006
SKU153,SUP011
SKU154,SUP007
SKU154,SUP015
SKU154,SUP005
SKU155,SUP004
SKU155,SUP011
SKU155,SUP007
SKU155,SUP003
SKU156,SUP003
SKU156,SUP005
SKU156,SUP015
SKU156,SUP013
SKU156,SUP007
SKU157,SUP014
SKU157,SUP008
SKU158,SUP001
SKU158,SUP003
SKU159,SUP003
SKU159,SUP002
SKU160,SUP009
SKU161,SUP003
SKU161,SUP008
SKU161,SUP002
SKU162,SUP015
SKU162,SUP014
SKU162,SUP012
SKU162,SUP001
SKU163,SUP009
SKU163,SUP014
SKU163,SUP010
SKU164,SUP010
SKU164,SUP002
SKU165,SUP015
SKU165,SUP011
SKU165,SUP008
SKU166,SUP007
SKU166,SUP002
SKU166,SUP011
SKU166,SUP014
SKU167,SUP011
SKU168,SUP009
SKU168,SUP002
SKU168,SUP013
SKU169,SUP014
SKU169,SUP005
SKU169,SUP001
SKU170,SUP009
SKU170,SUP002
SKU170,SUP015
SKU170,SUP010
SKU171,SUP013
SKU171,SUP002
SKU172,SUP009
SKU173,SUP008
SKU174,SUP007
SKU174,SUP001
SKU174,SUP011
SKU174,SUP012
SKU175,SUP014
SKU175,SUP008
SKU176,SUP015
SKU176,SUP003
SKU176,SUP007
SKU176,SUP009
SKU177,SUP010
SKU177,SUP001
SKU177,SUP007
SKU177,SUP006
SKU177,SUP014
SKU178,SUP014
SKU178,SUP015
SKU178,SUP012
SKU178,SUP002
SKU179,SUP003
SKU179,SUP012
SKU180,SUP008
SKU180,SUP015
SKU180,SUP011
SKU180,SUP012
SKU180,SUP003
SKU181,SUP003
SKU181,SUP015
SKU181,SUP006
SKU181,SUP009
SKU181,SUP008
SKU182,SUP008
SKU182,SUP013
SKU182,SUP014
SKU183,SUP002
SKU183,SUP001
SKU184,SUP001
SKU185,SUP001
SKU185,SUP002
SKU185,SUP007
SKU185,SUP004
SKU185,SUP009
SKU186,SUP006
SKU186,SUP009
SKU186,SUP002
SKU186,SUP014
SKU187,SUP003
SKU187,SUP010
SKU187,SUP011
SKU187,SUP013
SKU187,SUP004
SKU188,SUP008
SKU189,SUP007
SKU189,SUP013
SKU189,SUP006
SKU189,SUP005
SKU189,SUP004
SKU190,SUP004
SKU191,SUP001
SKU191,SUP006
SKU192,SUP015
SKU192,SUP005
SKU192,SUP014
SKU192,SUP004
SKU192,SUP002
SKU193,SUP009
SKU193,SUP008
SKU193,SUP010
SKU193,SUP006
SKU194,SUP009
SKU194,SUP010
SKU194,SUP001
SKU194,SUP002
SKU194,SUP005
SKU195,SUP009
SKU196,SUP005
SKU196,SUP001
SKU196,SUP006
SKU197,SUP003
SKU198,SUP001
SKU199,SUP009
SKU199,SUP010
SKU199,SUP015
SKU200,SUP007
SKU201,SUP012
SKU201,SUP006
SKU201,SUP004
SKU202,SUP012
SKU202,SUP003
SKU202,SUP005
SKU202,SUP001
SKU202,SUP014
SKU203,SUP002
SKU203,SUP006
SKU203,SUP005
SKU203,SUP011
SKU204,SUP012
SKU204,SUP007
SKU204,SUP005
SKU204,SUP013
SKU204,SUP001
SKU205,SUP009
SKU205,SUP006
SKU205,SUP014
SKU206,SUP008
SKU206,SUP011
SKU206,SUP001
SKU206,SUP012
SKU206,SUP006
SKU207,SUP001
SKU207,SUP004
SKU208,SUP002
SKU208,SUP014
SKU208,SUP005
SKU208,SUP013
SKU208,SUP010
SKU209,SUP010
SKU210,SUP008
SKU210,SUP012
SKU210,SUP005
SKU210,SUP015
SKU211,SUP014
SKU212,SUP002
SKU212,SUP013
SKU212,SUP009
SKU212,SUP005
SKU212,SUP001
SKU213,SUP005
SKU213,SUP002
SKU213,SUP010
SKU213,SUP014
SKU214,SUP007
SKU214,SUP010
SKU214,SUP014
SKU214,SUP006
SKU214,SUP013
SKU215,SUP012
SKU215,SUP005
SKU215,SUP010
SKU215,SUP003
SKU216,SUP011
SKU216,SUP010
SKU216,SUP012
SKU217,SUP010
SKU217,SUP003
SKU218,SUP011
SKU218,SUP015
SKU218,SUP014
SKU219,SUP008
SKU220,SUP010
SKU220,SUP015
SKU220,SUP006
SKU220,SUP014
SKU220,SUP007
SKU221,SUP003
SKU221,SUP010
SKU222,SUP013
SKU222,SUP014
SKU222,SUP005
SKU223,SUP004
SKU224,SUP012
SKU224,SUP013
SKU225,SUP001
SKU225,SUP015
SKU225,SUP007
SKU225,SUP012
SKU226,SUP005
SKU227,SUP015
SKU227,SUP008
SKU227,SUP005
SKU228,SUP012
SKU229,SUP002
SKU230,SUP015
SKU230,SUP002
SKU231,SUP013
SKU231,SUP012
SKU231,SUP006
SKU231,SUP009
SKU231,SUP015
SKU232,SUP007
SKU233,SUP009
SKU233,SUP014
SKU233,SUP002
SKU233,SUP006
SKU233,SUP005
SKU234,SUP013
SKU234,SUP009
SKU235,SUP015
SKU235,SUP003
SKU235,SUP013
SKU236,SUP005
SKU236,SUP002
SKU236,SUP006
SKU236,SUP007
SKU236,SUP009
SKU237,SUP008
SKU237,SUP005
SKU237,SUP003
SKU238,SUP004
SKU239,SUP013
SKU240,SUP003
SKU240,SUP009
SKU241,SUP013
SKU241,SUP006
SKU241,SUP009
SKU241,SUP005
SKU241,SUP001
SKU242,SUP015
SKU242,SUP013
SKU242,SUP014
SKU242,SUP001
SKU243,SUP008
SKU243,SUP014
SKU243,SUP005
SKU243,SUP007
SKU243,SUP006
SKU244,SUP003
SKU244,SUP002
SKU244,SUP009
SKU245,SUP009
SKU245,SUP015
SKU246,SUP006
SKU247,SUP009
SKU247,SUP007
SKU247,SUP003
SKU247,SUP013
SKU248,SUP014
SKU248,SUP005
SKU248,SUP009
SKU248,SUP006
SKU248,SUP008
SKU249,SUP001
SKU249,SUP010
SKU249,SUP009
SKU249,SUP008
SKU250,SUP014
SKU250,SUP009
SKU250,SUP001
SKU251,SUP012
SKU251,SUP007
SKU251,SUP004
SKU251,SUP002
SKU251,SUP013
SKU252,SUP004
SKU252,SUP011
SKU252,SUP015
SKU252,SUP005
SKU252,SUP008
SKU253,SUP008
SKU253,SUP009
SKU253,SUP003
SKU254,SUP014
SKU254,SUP012
SKU254,SUP005
SKU254,SUP011
SKU255,SUP001
SKU255,SUP003
SKU255,SUP006
SKU255,SUP007
SKU256,SUP014
SKU256,SUP003
SKU256,SUP010
SKU256,SUP013
SKU256,SUP015
SKU257,SUP005
SKU257,SUP004
SKU257,SUP008
SKU257,SUP009
SKU257,SUP011
SKU258,SUP003
SKU258,SUP013
SKU258,SUP010
SKU258,SUP005
SKU258,SUP006
