sku_id,category,subcategory,lead_time_default
SKU138,Home,Decor,12
SKU139,Toys,Action Figures,22
SKU140,Garden,Plants,23
SKU141,Electronics,Tablets,23
SKU142,Garden,Decor,30
SKU143,Sports,Balls,25
SKU144,Books,Comics,13
SKU145,Sports,Bats,30
SKU146,Garden,Tools,19
SKU147,Fashion,Jackets,26
SKU148,Grocery,Snacks,25
SKU149,Electronics,Smartphones,11
SKU150,Sports,Balls,27
SKU151,Home,Furniture,20
SKU152,Home,Kettles,26
SKU153,Grocery,Snacks,18
SKU154,Sports,Gloves,21
SKU155,Toys,Action Figures,16
SKU156,Garden,Plants,20
SKU157,Sports,Gloves,8
SKU158,Electronics,Laptops,9
SKU159,Books,Non-fiction,14
SKU160,Beauty,Skincare,8
SKU161,Fashion,Shirts,14
SKU162,Garden,Decor,30
SKU163,Electronics,Smartphones,17
SKU164,Toys,Puzzles,6
SKU165,Electronics,Tablets,24
SKU166,Automotive,Tools,7
SKU167,Electronics,Smartphones,23
SKU168,Sports,Gloves,5
SKU169,Electronics,Laptops,15
SKU170,Fashion,Shoes,23
SKU171,Fashion,Shirts,27
SKU172,Electronics,Laptops,12
SKU173,Garden,Plants,30
SKU174,Fashion,Shirts,13
SKU175,Books,Non-fiction,25
SKU176,Fashion,Shoes,15
SKU177,Automotive,Accessories,25
SKU178,Grocery,Beverages,9
SKU179,Grocery,Condiments,21
SKU180,Home,Furniture,21
SKU181,Books,Comics,9
SKU182,Electronics,Tablets,17
SKU183,Books,Fiction,7
SKU184,Grocery,Beverages,21
SKU185,Electronics,Laptops,24
SKU186,Grocery,Beverages,17
SKU187,Home,Kettles,8
SKU188,Grocery,Condiments,16
SKU189,Grocery,Condiments,18
SKU190,Toys,Puzzles,30
SKU191,Sports,Bats,7
SKU192,Grocery,Condiments,25
SKU193,Toys,Action Figures,27
SKU194,Grocery,Condiments,17
SKU195,Sports,Balls,30
SKU196,Books,Non-fiction,30
SKU197,Sports,Gloves,27
SKU198,Fashion,Shirts,16
SKU199,Grocery,Beverages,30
SKU200,Electronics,Smartphones,10
