sku_id,warehouse_id,current_stock,reserved_stock,unit_cost,unit_price
SKU027,WH2,1190,97,521,675
SKU233,WH14,627,78,427,553
SKU012,WH12,344,41,764,990
SKU035,WH13,235,11,652,843
SKU172,WH6,70,0,876,1142
SKU163,WH11,149,15,487,634
SKU167,WH3,989,13,343,441
SKU029,WH11,424,36,846,1099
SKU165,WH7,1054,40,327,425
SKU142,WH9,430,13,513,667
SKU232,WH3,1157,129,752,977
SKU195,WH10,940,88,37,44
SKU109,WH10,310,0,433,564
SKU060,WH12,350,22,312,409
SKU052,WH5,679,13,601,785
SKU166,WH14,893,93,370,476
SKU207,WH7,182,19,785,1015
SKU033,WH2,362,63,895,1161
SKU186,WH1,1194,106,942,1223
SKU180,WH1,214,27,376,488
SKU109,WH15,669,113,343,441
SKU222,WH12,1018,36,29,41
SKU143,WH2,846,0,128,163
SKU140,WH13,247,36,766,994
SKU009,WH11,1058,178,215,283
SKU070,WH10,325,52,251,328
SKU049,WH13,175,33,226,289
SKU241,WH11,1112,183,504,651
SKU110,WH11,968,171,303,391
SKU023,WH8,200,15,955,1245
SKU074,WH5,941,118,17,18
SKU008,WH2,178,7,678,881
SKU178,WH6,566,110,95,119
SKU045,WH7,360,42,979,1268
SKU192,WH11,352,45,973,1259
SKU152,WH5,1074,146,296,383
SKU252,WH2,1142,104,611,790
SKU049,WH12,1059,191,975,1270
SKU170,WH10,1162,175,790,1030
SKU001,WH10,638,30,498,645
SKU005,WH5,1175,131,623,806
SKU059,WH14,446,22,860,1113
SKU227,WH8,871,88,734,949
SKU017,WH8,1149,198,152,196
SKU152,WH2,877,92,482,621
SKU089,WH15,354,34,949,1233
SKU129,WH9,916,109,983,1281
SKU189,WH1,1011,173,786,1018
SKU048,WH15,134,25,337,434
SKU187,WH11,503,27,638,833
SKU226,WH14,714,11,142,180
SKU090,WH8,353,36,984,1277
SKU138,WH4,832,42,953,1239
SKU005,WH7,547,107,900,1169
SKU121,WH11,456,79,824,1070
SKU190,WH3,1197,142,802,1040
SKU139,WH9,764,50,792,1027
SKU052,WH15,838,140,479,619
SKU088,WH2,1013,116,573,741
SKU056,WH1,155,3,679,878
SKU227,WH14,51,0,598,775
SKU163,WH9,139,24,359,467
SKU037,WH10,1181,73,48,63
SKU035,WH8,1008,55,250,329
SKU221,WH3,494,41,961,1247
SKU108,WH4,1157,195,895,1164
SKU130,WH15,608,12,896,1164
SKU128,WH12,1191,20,735,958
SKU213,WH15,1099,8,792,1033
SKU213,WH10,1033,121,642,838
SKU035,WH7,633,23,729,942
SKU037,WH7,908,36,589,761
SKU232,WH4,713,18,621,808
SKU073,WH6,906,145,924,1199
SKU173,WH6,1042,182,251,325
SKU257,WH15,736,48,492,635
SKU065,WH2,722,118,670,866
SKU045,WH6,711,36,664,860
SKU226,WH10,1037,198,169,223
SKU257,WH10,1018,77,86,114
SKU178,WH7,970,1,329,424
SKU192,WH1,312,20,667,864
SKU171,WH6,686,23,709,918
SKU172,WH14,1175,41,297,387
SKU185,WH13,670,35,753,977
SKU012,WH1,402,35,908,1183
SKU120,WH15,697,96,900,1170
SKU019,WH10,474,67,790,1022
SKU183,WH5,877,129,965,1253
SKU243,WH10,477,26,169,218
SKU119,WH5,825,49,76,98
SKU051,WH1,430,57,268,348
SKU112,WH13,776,1,623,804
SKU197,WH1,403,29,125,164
SKU069,WH9,711,43,451,584
SKU115,WH8,502,76,486,634
SKU099,WH10,360,61,679,885
SKU203,WH3,104,15,21,22
SKU014,WH5,1029,2,665,865
SKU102,WH10,397,4,989,1287
SKU145,WH12,413,64,642,833
SKU177,WH6,1157,197,415,535
SKU108,WH13,505,31,170,220
SKU253,WH3,833,37,509,657
SKU099,WH13,558,13,813,1051
SKU186,WH6,163,12,587,766
SKU203,WH4,390,1,996,1297
SKU147,WH6,1018,192,852,1104
SKU105,WH8,360,5,428,556
SKU006,WH7,192,21,325,421
SKU117,WH1,293,41,21,22
SKU042,WH9,91,5,603,780
SKU258,WH12,183,2,857,1115
SKU173,WH15,997,13,82,105
SKU094,WH1,627,90,139,177
SKU013,WH6,315,24,971,1265
SKU114,WH5,302,53,298,385
SKU166,WH11,144,13,842,1094
SKU108,WH8,287,51,908,1177
SKU256,WH5,951,24,662,859
SKU141,WH2,531,7,926,1199
SKU005,WH2,1013,24,88,112
SKU160,WH8,1085,31,137,176
SKU141,WH11,1038,59,456,592
SKU046,WH9,721,92,52,63
SKU147,WH9,1133,150,476,615
SKU005,WH14,827,88,651,842
SKU046,WH5,1129,206,466,606
SKU175,WH7,132,8,108,139
SKU157,WH8,239,45,892,1160
SKU155,WH12,1153,143,773,999
SKU047,WH11,834,100,368,476
SKU144,WH5,869,163,133,172
SKU157,WH10,1136,115,712,922
SKU013,WH11,568,26,101,131
SKU118,WH10,504,85,654,851
SKU078,WH4,435,61,740,961
SKU245,WH5,295,37,600,779
SKU182,WH5,699,57,897,1167
SKU170,WH7,950,64,22,27
SKU237,WH1,291,44,222,287
SKU113,WH13,387,44,681,883
SKU143,WH7,514,98,506,656
SKU205,WH3,357,54,638,833
SKU011,WH6,559,67,555,719
SKU115,WH5,673,81,753,975
SKU049,WH2,603,20,563,726
SKU010,WH11,154,16,129,170
SKU244,WH10,474,0,139,175
SKU118,WH2,1083,57,965,1256
SKU240,WH8,838,27,724,942
SKU061,WH15,851,7,964,1253
SKU073,WH8,249,48,88,109
SKU088,WH4,1005,86,865,1121
SKU113,WH12,630,31,949,1228
SKU008,WH12,136,4,17,24
SKU160,WH12,136,10,394,509
SKU030,WH5,457,23,26,32
SKU004,WH9,197,20,241,317
SKU121,WH4,415,10,445,575
SKU029,WH4,548,27,572,747
SKU100,WH3,822,93,361,471
SKU248,WH7,187,31,377,485
SKU070,WH8,409,24,338,435
SKU120,WH3,512,49,972,1258
SKU208,WH8,885,77,626,816
SKU098,WH3,266,49,787,1022
SKU193,WH14,701,90,497,642
SKU190,WH8,423,12,702,908
SKU121,WH7,572,9,792,1024
SKU017,WH14,985,145,192,252
SKU216,WH15,537,58,855,1115
SKU161,WH12,1034,113,799,1036
SKU157,WH13,463,83,734,951
SKU023,WH1,735,112,897,1165
SKU171,WH12,171,31,231,301
SKU093,WH4,88,16,789,1028
SKU017,WH15,992,17,158,204
SKU218,WH2,351,6,672,873
SKU144,WH4,711,88,543,701
SKU151,WH2,819,28,222,286
SKU019,WH11,332,49,616,797
SKU255,WH10,137,11,470,611
SKU148,WH15,470,60,362,472
SKU064,WH2,564,62,639,827
SKU199,WH7,72,12,39,51
SKU171,WH2,157,14,290,376
SKU164,WH10,1184,135,371,486
SKU198,WH12,178,4,524,676
SKU252,WH10,1177,226,233,306
SKU066,WH9,522,9,414,539
SKU057,WH14,972,65,946,1232
SKU132,WH4,549,35,607,793
SKU055,WH1,651,57,575,742
SKU087,WH14,1087,120,427,554
SKU086,WH10,1093,74,921,1194
SKU237,WH4,1064,69,833,1079
SKU255,WH9,1174,185,141,181
SKU050,WH6,1093,137,545,708
SKU179,WH10,276,25,814,1058
SKU194,WH9,871,102,414,542
SKU194,WH8,87,13,781,1018
SKU226,WH15,990,19,282,367
SKU143,WH12,632,3,230,296
SKU178,WH14,385,57,64,81
SKU050,WH13,949,119,775,1009
SKU009,WH4,211,29,603,780
SKU041,WH8,208,18,826,1070
SKU177,WH11,455,23,118,157
SKU174,WH9,1047,116,936,1214
SKU127,WH7,68,12,749,974
SKU115,WH12,162,22,490,633
SKU191,WH10,880,115,122,161
SKU194,WH15,1069,117,822,1063
SKU198,WH3,450,69,269,347
SKU175,WH13,1120,218,408,530
SKU136,WH1,127,10,880,1147
SKU087,WH7,651,68,514,666
SKU239,WH5,187,2,982,1271
SKU247,WH9,303,53,719,929
SKU211,WH1,612,116,924,1205
SKU143,WH15,596,45,931,1207
SKU163,WH13,630,92,841,1092
SKU244,WH3,98,9,713,925
SKU236,WH1,405,69,611,792
SKU207,WH3,687,38,940,1217
SKU142,WH12,841,56,621,807
SKU026,WH10,858,59,373,487
SKU223,WH3,1034,35,734,956
SKU062,WH1,925,105,423,549
SKU201,WH10,952,162,960,1250
SKU084,WH8,955,79,409,531
SKU060,WH4,254,5,565,737
SKU248,WH10,645,81,259,339
SKU217,WH13,245,32,996,1295
SKU202,WH8,1143,126,408,526
SKU234,WH15,721,142,953,1239
SKU002,WH9,541,13,322,417
SKU153,WH2,363,20,91,117
SKU141,WH1,1033,48,924,1198
SKU078,WH11,902,127,917,1195
SKU141,WH15,494,40,170,217
SKU013,WH8,678,126,499,651
SKU116,WH1,376,32,602,784
SKU124,WH7,622,97,37,52
SKU040,WH1,92,8,432,561
SKU142,WH4,226,16,619,804
SKU133,WH5,247,33,586,765
SKU155,WH6,902,4,523,679
SKU230,WH14,1185,56,75,101
SKU211,WH13,147,15,889,1152
SKU102,WH7,686,85,597,778
SKU186,WH15,620,9,620,803
SKU099,WH6,610,63,41,54
SKU131,WH5,326,19,163,209
SKU105,WH3,933,142,385,502
SKU245,WH8,262,14,735,953
SKU140,WH11,653,13,932,1214
SKU247,WH7,729,57,805,1050
SKU191,WH8,930,65,930,1211
SKU239,WH8,1117,96,563,729
SKU089,WH14,276,5,688,892
SKU041,WH1,650,122,187,240
SKU010,WH5,758,50,788,1026
SKU168,WH13,317,9,17,24
SKU062,WH6,557,91,306,395
SKU111,WH2,534,84,81,106
SKU143,WH10,954,46,920,1198
SKU052,WH9,603,59,477,620
SKU232,WH5,435,6,857,1111
SKU013,WH12,926,2,292,375
SKU209,WH5,89,5,938,1214
SKU063,WH10,1064,7,622,807
SKU150,WH14,309,29,975,1267
SKU038,WH4,593,8,533,693
SKU204,WH12,1089,128,584,760
SKU215,WH11,1062,20,679,878
SKU207,WH5,973,101,515,670
SKU222,WH1,180,32,205,269
SKU169,WH2,979,153,391,507
SKU170,WH8,276,27,486,634
SKU093,WH6,695,59,949,1236
SKU107,WH7,992,107,885,1153
SKU160,WH7,774,130,597,780
SKU088,WH14,205,25,199,253
SKU006,WH1,1030,162,701,907
SKU176,WH12,90,14,347,455
SKU005,WH13,1148,184,288,374
SKU060,WH14,322,4,629,814
SKU246,WH15,338,15,939,1216
SKU115,WH6,532,39,257,335
SKU070,WH6,503,72,669,864
SKU238,WH3,1017,86,649,840
SKU128,WH5,565,57,930,1209
SKU211,WH3,192,20,236,309
SKU209,WH13,998,45,663,859
